id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price,Location,Date,Day of Week,Total Sales
41874,Kyle,Peck,KylePeck71@gmail.com,ballet flats,faux-leather,black,385,Chicago,1-Feb,Wednesday,400
31349,Elizabeth,Velazquez,EVelazquez1971@gmail.com,boots,fabric,brown,388,Boston,4-Mar,Thursday,550
43416,Keith,Saunders,KS4047@gmail.com,sandals,leather,navy,346,New York,5-Apr,Friday,44032
56054,Ryan,Sweeney,RyanSweeney14@outlook.com,sandals,fabric,brown,344,Salem,5-Jun,Saturday,234
77402,Donna,Blankenship,DB3807@gmail.com,stilettos,fabric,brown,289,Weston,4-Jul,Sunday,230
97148,Albert,Dillon,Albert.Dillon@gmail.com,wedges,fabric,brown,266,Wextor,26-Aug,Moonday,345
19998,Judith,Hewitt,JudithHewitt98@gmail.com,stilettos,leather,black,395,Paris,1-Feb,Tuesday,1200
83290,Kayla,Hardin,Kayla.Hardin@gmail.com,stilettos,leather,white,241,Barcelona,4-Mar,Monday,345
77867,Steven,Blankenship,Steven.Blankenship@gmail.com,wedges,leather,navy,266,Location,5-Apr,Tuesday,456
54885,Carol,Mclaughlin,CM3415@gmail.com,ballet flats,faux-leather,brown,440,Chicago,5-Jun,Wednesday,345
35853,Jacob,Juarez,JJuarez1977@outlook.com,ballet flats,leather,red,331,Boston,4-Jul,Thursday,45
35916,Michael,Christensen,Michael.Christensen@gmail.com,ballet flats,faux-leather,red,270,New York,26-Aug,Friday,64
39587,Dennis,Vega,Dennis.Vega@gmail.com,ballet flats,faux-leather,brown,91,Salem,1-Feb,Moonday,4234
19234,Kathleen,Frost,KFrost1970@gmail.com,clogs,leather,brown,319,Weston,4-Mar,Wednesday,554
19733,Deborah,Lara,Deborah.Lara@gmail.com,ballet flats,leather,white,205,Wextor,5-Apr,Saturday,345
30871,Abigail,Dillard,ADillard1994@gmail.com,ballet flats,faux-leather,white,278,Paris,5-Jun,Sunday,234
11967,Maria,Whitfield,Maria.Whitfield@gmail.com,wedges,fabric,white,180,Barcelona,4-Jul,Monday,45
42371,Gregory,Rose,GRose1983@gmail.com,boots,faux-leather,brown,319,Location,26-Aug,Tuesday,55
35693,Margaret,Tyler,MTyler1974@gmail.com,ballet flats,fabric,brown,481,Chicago,1-Feb,Wednesday,54
36694,Jessica,Cash,JCash1997@gmail.com,clogs,leather,red,397,Boston,4-Mar,Moonday,24124
84933,Jeremy,Holder,JeremyHolder35@gmail.com,wedges,leather,red,347,New York,5-Apr,Thursday,545
92283,Diana,Burgess,DBurgess1998@gmail.com,wedges,faux-leather,red,324,Salem,5-Jun,Thursday,4245
87240,William,Calderon,WilliamCalderon79@gmail.com,clogs,leather,red,439,Weston,4-Jul,Friday,400
49817,Katherine,Jensen,Katherine.Jensen@gmail.com,boots,fabric,black,171,Wextor,26-Aug,Saturday,550
18255,Tiffany,Bradshaw,TB6065@gmail.com,boots,faux-leather,navy,284,Paris,1-Feb,Sunday,44032
16026,William,Edwards,WE2364@gmail.com,sandals,leather,white,326,Barcelona,4-Mar,Monday,234
39560,Teresa,Valenzuela,TValenzuela1973@gmail.com,clogs,leather,brown,323,Location,5-Apr,Moonday,230
63898,Amber,Gross,Amber.Gross@gmail.com,stilettos,leather,black,451,Chicago,5-Jun,Friday,345
31777,Kayla,Fox,Kayla.Fox@yahoo.com,sandals,fabric,navy,207,Boston,4-Jul,Tuesday,1200
42232,Megan,Tyson,MTyson1979@gmail.com,sandals,faux-leather,white,456,New York,26-Aug,Wednesday,345
69370,Vincent,Greer,Vincent.Greer@gmail.com,boots,leather,brown,308,Salem,1-Feb,Thursday,456
62378,Willie,Sharp,WS5572@gmail.com,wedges,fabric,white,161,Weston,4-Mar,Friday,345
48007,Billy,Dalton,BDalton1987@gmail.com,stilettos,fabric,navy,167,Wextor,5-Apr,Saturday,45
27900,Alan,Golden,AG6950@gmail.com,boots,fabric,navy,289,Paris,5-Jun,Moonday,64
85959,Julie,Rosa,JRosa1990@outlook.com,stilettos,leather,brown,481,Location,1-Feb,Saturday,4234
94489,Philip,Carpenter,Philip.Carpenter@gmail.com,boots,faux-leather,red,247,Chicago,4-Mar,Sunday,554
24421,Megan,Rhodes,MR1115@gmail.com,boots,fabric,black,100,Boston,5-Apr,Monday,345
87527,James,Sheppard,James.Sheppard@gmail.com,boots,faux-leather,brown,211,New York,5-Jun,Tuesday,234
87313,Wayne,Small,WSmall1987@gmail.com,stilettos,faux-leather,navy,487,Salem,4-Jul,Wednesday,45
18507,Donna,Clay,DC4155@hotmail.com,boots,fabric,navy,478,Weston,26-Aug,Thursday,55
49063,Sara,Michael,SaraMichael67@gmail.com,sandals,fabric,brown,247,Wextor,1-Feb,Moonday,54
76091,Joan,Chan,JoanChan88@gmail.com,wedges,faux-leather,red,253,Paris,4-Mar,Sunday,24124
50912,Nicole,Morgan,NicoleMorgan51@hotmail.com,boots,faux-leather,black,114,Barcelona,5-Apr,Friday,545
26090,Jacob,Callahan,JacobCallahan54@gmail.com,stilettos,leather,black,286,Location,5-Jun,Saturday,4245
65512,Brenda,Jacobson,Brenda.Jacobson@gmail.com,wedges,leather,navy,195,Chicago,4-Jul,Sunday,400
15125,Elizabeth,Day,Elizabeth.Day@gmail.com,wedges,fabric,navy,204,Boston,26-Aug,Monday,550
72787,Patrick,Keller,PatrickKeller42@outlook.com,stilettos,fabric,black,285,New York,1-Feb,Tuesday,44032
60684,Anna,Lancaster,Anna.Lancaster@hotmail.com,boots,leather,red,435,Salem,4-Mar,Moonday,234
36015,Richard,Forbes,RForbes1973@gmail.com,wedges,faux-leather,black,289,Weston,5-Apr,Monday,230
73858,Lisa,Durham,Lisa.Durham@gmail.com,boots,faux-leather,white,339,Wextor,5-Jun,Wednesday,345
62605,Jennifer,Chang,JC2229@gmail.com,boots,fabric,navy,205,Paris,4-Jul,Thursday,1200
54049,Kelly,Montoya,KellyMontoya63@gmail.com,wedges,leather,brown,141,Barcelona,26-Aug,Friday,345
13769,Arthur,Casey,AC1888@gmail.com,boots,fabric,navy,230,Location,1-Feb,Saturday,456
10204,Victoria,Higgins,VictoriaHiggins66@hotmail.com,ballet flats,leather,red,187,Chicago,4-Mar,Sunday,345
52786,Ronald,Morton,RM3539@gmail.com,sandals,fabric,navy,286,Boston,5-Apr,Moonday,45
90249,Joan,Rivas,JoanRivas66@gmail.com,clogs,fabric,red,437,New York,5-Jun,Tuesday,64
26448,Stephen,Stevens,StephenStevens66@gmail.com,boots,leather,brown,176,Salem,4-Jul,Monday,4234
74824,Abigail,Johns,Abigail.Johns@gmail.com,wedges,fabric,black,283,Weston,26-Aug,Tuesday,554
62812,Jessica,Ortega,Jessica.Ortega@gmail.com,sandals,faux-leather,white,236,Wextor,1-Feb,Wednesday,345
40484,Walter,Cunningham,Walter.Cunningham@gmail.com,boots,fabric,navy,372,Paris,4-Mar,Thursday,234
66605,Justin,Knight,JKnight1985@gmail.com,clogs,faux-leather,brown,138,Location,5-Apr,Friday,45
17784,Louis,Miranda,LouisMiranda65@gmail.com,clogs,leather,black,451,Chicago,5-Jun,Moonday,55
84878,Carolyn,O'neil,Carolyn.O'neil@gmail.com,boots,leather,white,227,Boston,4-Jul,Wednesday,54
97228,Margaret,Pickett,MP1336@gmail.com,stilettos,faux-leather,brown,351,New York,26-Aug,Saturday,24124
13553,Aaron,Hanson,AH3867@gmail.com,clogs,faux-leather,navy,493,Salem,1-Feb,Sunday,545
91572,Ethan,Hobbs,EH6701@gmail.com,boots,leather,white,193,Weston,4-Mar,Monday,4245
22823,Linda,Russo,LR1703@gmail.com,wedges,faux-leather,navy,406,Wextor,1-Feb,Tuesday,400
54425,John,Ramos,JRamos1982@gmail.com,clogs,leather,brown,313,Paris,4-Mar,Wednesday,550
83346,Rachel,Lowery,Rachel.Lowery@gmail.com,ballet flats,faux-leather,brown,212,Barcelona,5-Apr,Moonday,44032
86546,Lisa,Spence,LSpence1998@gmail.com,wedges,faux-leather,black,115,Location,5-Jun,Thursday,234
55282,Noah,Knox,Noah.Knox@gmail.com,ballet flats,faux-leather,white,308,Chicago,4-Jul,Thursday,230
33364,Andrea,Chang,Andrea.Chang@yahoo.com,ballet flats,faux-leather,white,106,Boston,26-Aug,Friday,345
61294,Bobby,Watkins,BWatkins1975@outlook.com,sandals,faux-leather,brown,241,New York,1-Feb,Saturday,1200
83961,Stephen,Hogan,SHogan1990@gmail.com,sandals,faux-leather,brown,113,Salem,4-Mar,Sunday,345
56339,Lisa,Mcfadden,LisaMcfadden49@gmail.com,clogs,fabric,black,221,Weston,5-Apr,Monday,456
68675,Ruth,Owen,RO7614@gmail.com,clogs,leather,white,324,Wextor,5-Jun,Moonday,345
68967,Sharon,Franco,SFranco1983@gmail.com,ballet flats,fabric,brown,124,Paris,4-Jul,Friday,45
42304,Danielle,Hawkins,DH1551@gmail.com,sandals,fabric,navy,122,Barcelona,26-Aug,Tuesday,64
57075,Jesse,Foster,JesseFoster77@gmail.com,clogs,fabric,brown,234,Location,1-Feb,Wednesday,4234
97943,David,Fuentes,DFuentes1984@hotmail.com,clogs,fabric,black,242,Chicago,4-Mar,Thursday,554
93774,Rebecca,Park,RebeccaPark83@gmail.com,ballet flats,fabric,black,226,Boston,5-Apr,Friday,345
70164,Ann,Greene,Ann.Greene@gmail.com,stilettos,fabric,red,474,New York,5-Jun,Saturday,234
24999,Paul,Freeman,PaulFreeman9@gmail.com,sandals,fabric,red,409,Salem,4-Jul,Moonday,45
19127,Philip,Dillard,Philip.Dillard@gmail.com,wedges,faux-leather,red,411,Weston,26-Aug,Saturday,55
67253,Amber,Daugherty,AmberDaugherty60@gmail.com,clogs,faux-leather,red,95,Wextor,1-Feb,Sunday,54
55075,Ashley,Rogers,Ashley.Rogers@hotmail.com,wedges,faux-leather,brown,269,Paris,4-Mar,Monday,24124
39447,Denise,Mendoza,DM2227@outlook.com,clogs,faux-leather,brown,93,Barcelona,5-Apr,Tuesday,545
