id,first_name,last_name,email,month,utm_source
10043,Louis,Koch,LouisKoch43@gmail.com,3-Mar,yahoo
10150,Bruce,Webb,BruceWebb44@outlook.com,3-Mar,twitter
10155,Nicholas,Hoffman,Nicholas.Hoffman@gmail.com,2-Feb,google
10178,William,Key,William.Key@outlook.com,3-Mar,yahoo
10208,Karen,Bass,KB4971@gmail.com,2-Feb,google
10260,Benjamin,Ochoa,Benjamin.Ochoa@outlook.com,1-Jan,twitter
10271,Gerald,Aguilar,Gerald.Aguilar@gmail.com,3-Mar,google
10278,Melissa,Lambert,Melissa.Lambert@gmail.com,2-Feb,email
10320,Adam,Strickland,Adam.Strickland@gmail.com,3-Mar,email
10389,Ethan,Payne,EthanPayne26@outlook.com,2-Feb,facebook
104001,Julia,Gonzales,gonzales@gmail.com,4-Apr,yahoo
104002,Adam,Matias,matias@outlook.com,2-Feb,twitter
10403,Joseph,Kowalwski,kowalski@gmail.com,3-Mar,google
10444,Alex,Portob,portob@gmail.com,4-Mar,yahoo
10445,Dan,Hofman,hofman@outlook.com,5-Mar,google
10446,Denis,Gordon,gordon@yahoo.com,6-Mar,twitter
10447,Gabriel,Ivanenko,ivananeko@gmail.com,7-Mar,google
10448,Chrsti,Kasumi,kasumi@gmail.com,8-Mar,email
10449,Julio,Utami,utami@gmail.com,9-Mar,email
,,,,,
